customer_id,full_name,document_cpf,signup_date
CUST-10000,Lucas Santos,442.393.967-19,10/06/2025
CUST-10001,João Pereira,484.223.689-63,24/09/2024
CUST-10002,Pedro Oliveira,755.161.546-85,12/03/2025
CUST-10003,Lucas Ribeiro,319.857.918-50,20/11/2025
CUST-10004,Pedro Ribeiro,914.857.229-15,23/06/2023
CUST-10005,Maria Souza,568.444.609-60,28/12/2024
CUST-10006,Fernanda Ferreira,471.308.478-74,08/07/2025
CUST-10007,Marcos Rodrigues,899.785.271-65,22/04/2023
CUST-10008,Mariana Ribeiro,369.956.149-27,20/01/2024
CUST-10009,Thiago Lima,207.575.937-72,03/09/2023
CUST-10010,João Ribeiro,456.383.852-98,25/09/2023
CUST-10011,Ana Rodrigues,899.618.230-13,17/06/2024
CUST-10012,Maria Oliveira,217.666.714-60,19/02/2025
CUST-10013,Fernanda Gomes,451.476.409-83,22/04/2024
CUST-10014,Pedro Ribeiro,729.372.973-21,14/12/2025
CUST-10015,Lucas Rodrigues,780.482.158-75,31/07/2024
CUST-10016,Beatriz Ribeiro,310.982.890-44,24/08/2024
CUST-10017,Ana Gomes,383.737.691-25,08/08/2025
CUST-10018,Pedro Ferreira,621.890.357-80,05/06/2024
CUST-10019,Rafael Rodrigues,126.344.388-40,20/06/2023
CUST-10020,Thiago Souza,308.748.409-98,30/08/2024
CUST-10021,Beatriz Lima,954.350.733-79,21/04/2023
CUST-10022,Mariana Santos,383.621.899-86,05/07/2025
CUST-10023,João Costa,715.884.415-97,17/06/2025
CUST-10024,Mariana Costa,750.402.709-52,07/04/2024
CUST-10025,Maria Lima,485.280.520-33,14/10/2023
CUST-10026,Thiago Santos,455.149.900-93,23/06/2025
CUST-10027,Julia Ribeiro,681.174.356-66,28/09/2023
CUST-10028,Camila Lima,726.829.919-52,26/06/2024
CUST-10029,Mariana Oliveira,579.454.467-90,26/07/2023
CUST-10030,Maria Ribeiro,449.844.236-99,02/01/2024
CUST-10031,Pedro Ribeiro,501.163.732-11,30/04/2023
CUST-10032,Mariana Pereira,259.573.629-79,15/08/2025
CUST-10033,Mariana Rodrigues,156.409.113-65,30/10/2023
CUST-10034,Ana Santos,639.128.495-64,23/01/2025
CUST-10035,Lucas Lima,391.565.934-37,06/05/2025
CUST-10036,Fernanda Ribeiro,648.408.121-14,14/05/2025
CUST-10037,Camila Rodrigues,349.387.863-27,25/03/2024
CUST-10038,Beatriz Oliveira,637.638.478-43,16/10/2025
CUST-10039,Pedro Ferreira,557.367.641-30,02/06/2024
CUST-10040,Rafael Ribeiro,332.839.562-83,17/01/2024
CUST-10041,Mariana Silva,365.256.178-83,04/11/2025
CUST-10042,Lucas Lima,279.245.735-76,14/09/2025
CUST-10043,Maria Rodrigues,366.790.759-18,18/10/2024
CUST-10044,Thiago Santos,538.970.603-79,08/09/2025
CUST-10045,Fernanda Costa,993.604.754-30,30/10/2025
CUST-10046,Mariana Souza,398.574.338-63,16/02/2025
CUST-10047,Mariana Gomes,900.522.300-58,28/02/2025
CUST-10048,Julia Silva,937.857.784-30,02/12/2023
CUST-10049,Rafael Rodrigues,595.468.124-51,11/01/2025
CUST-10050,Camila Rodrigues,317.227.440-50,17/07/2023
CUST-10051,João Lima,854.494.903-31,09/10/2024
CUST-10052,Maria Gomes,632.801.122-88,17/04/2025
CUST-10053,Ana Costa,989.637.278-88,04/03/2025
CUST-10054,Beatriz Ferreira,292.893.387-95,13/11/2023
CUST-10055,Beatriz Costa,280.244.116-72,29/02/2024
CUST-10056,Beatriz Oliveira,213.769.641-62,07/09/2023
CUST-10057,Maria Souza,440.651.512-30,03/08/2025
CUST-10058,João Ferreira,782.634.878-83,28/11/2023
CUST-10059,Lucas Santos,416.795.782-29,13/09/2025
CUST-10060,Lucas Silva,391.824.607-92,18/04/2024
CUST-10061,Mariana Costa,251.741.371-80,26/09/2024
CUST-10062,Mariana Ribeiro,128.357.462-31,05/05/2023
CUST-10063,Pedro Souza,235.100.201-34,25/06/2024
CUST-10064,Thiago Costa,673.100.720-18,22/03/2024
CUST-10065,Mariana Ferreira,383.478.195-16,19/07/2023
CUST-10066,Beatriz Santos,953.494.591-86,20/06/2025
CUST-10067,Rafael Lima,951.791.166-27,26/03/2024
CUST-10068,Julia Pereira,549.351.150-73,17/11/2023
CUST-10069,Carlos Alves,674.368.525-37,29/10/2024
CUST-10070,João Lima,293.633.865-74,15/02/2024
CUST-10071,Ana Ferreira,248.880.272-81,15/02/2025
CUST-10072,Carlos Ribeiro,925.816.705-47,08/11/2023
CUST-10073,Ana Costa,999.850.549-73,28/02/2024
CUST-10074,Mariana Pereira,704.327.100-40,28/05/2023
CUST-10075,Maria Souza,121.431.181-77,22/05/2023
CUST-10076,Julia Souza,371.608.928-36,18/04/2023
CUST-10077,Maria Rodrigues,711.256.777-57,13/08/2023
CUST-10078,Beatriz Alves,937.642.808-61,18/11/2024
CUST-10079,Carlos Lima,420.286.827-71,10/08/2024
CUST-10080,Ana Ferreira,607.978.428-52,23/07/2023
CUST-10081,Marcos Lima,630.266.963-32,23/06/2024
CUST-10082,Camila Gomes,128.508.491-73,22/06/2025
CUST-10083,Beatriz Santos,666.318.739-14,01/10/2025
CUST-10084,Mariana Souza,795.602.371-76,14/11/2024
CUST-10085,Maria Costa,935.523.687-15,23/04/2024
CUST-10086,João Silva,126.584.903-44,08/07/2024
CUST-10087,Beatriz Ferreira,218.975.691-38,27/01/2025
CUST-10088,Marcos Souza,109.351.578-96,28/10/2024
CUST-10089,Lucas Silva,197.197.519-22,07/09/2024
CUST-10090,Beatriz Oliveira,432.918.581-56,22/07/2023
CUST-10091,Camila Pereira,905.173.550-53,15/01/2025
CUST-10092,Pedro Souza,572.993.888-89,13/11/2024
CUST-10093,Marcos Souza,559.847.444-17,02/01/2024
CUST-10094,Mariana Ribeiro,801.710.224-68,05/01/2024
CUST-10095,Fernanda Ferreira,217.192.435-10,13/07/2023
CUST-10096,Camila Alves,788.222.335-77,19/07/2023
CUST-10097,Fernanda Alves,487.240.497-46,20/07/2024
CUST-10098,Maria Rodrigues,331.846.832-84,28/07/2025
CUST-10099,Carlos Alves,835.449.811-14,16/07/2023
CUST-10100,Marcos Ferreira,912.206.330-29,20/07/2023
CUST-10101,Lucas Oliveira,591.402.443-92,05/07/2023
CUST-10102,Pedro Alves,187.167.270-28,21/05/2023
CUST-10103,Rafael Gomes,521.569.302-31,09/04/2023
CUST-10104,Pedro Souza,262.968.123-75,08/12/2025
CUST-10105,Lucas Santos,587.264.876-98,22/08/2024
CUST-10106,Beatriz Santos,372.584.946-60,25/08/2025
CUST-10107,Marcos Alves,577.102.979-22,10/03/2025
CUST-10108,Carlos Alves,935.790.227-58,04/08/2023
CUST-10109,Mariana Oliveira,957.905.404-57,27/05/2024
CUST-10110,Mariana Gomes,711.198.145-11,13/04/2023
CUST-10111,João Oliveira,394.761.506-84,10/03/2025
CUST-10112,Julia Rodrigues,879.540.708-99,25/04/2024
CUST-10113,João Oliveira,236.504.399-12,12/11/2024
CUST-10114,Carlos Santos,589.721.143-40,28/12/2023
CUST-10115,Rafael Oliveira,860.765.662-14,25/07/2025
CUST-10116,Julia Lima,270.407.617-20,19/11/2024
CUST-10117,Beatriz Souza,928.896.957-79,04/07/2024
CUST-10118,Beatriz Santos,472.438.443-19,12/09/2025
CUST-10119,Lucas Gomes,635.833.408-33,14/05/2024
CUST-10120,Marcos Silva,784.277.488-47,27/01/2024
CUST-10121,Fernanda Alves,394.701.289-27,30/06/2024
CUST-10122,João Ferreira,876.784.931-52,13/05/2025
CUST-10123,Pedro Oliveira,736.159.230-76,27/03/2024
CUST-10124,João Souza,782.975.281-48,20/11/2024
CUST-10125,Mariana Santos,711.281.504-53,03/10/2024
CUST-10126,Rafael Ribeiro,751.129.903-37,26/08/2024
CUST-10127,Julia Ribeiro,200.634.230-63,16/10/2023
CUST-10128,Camila Gomes,890.454.564-86,30/09/2023
CUST-10129,João Pereira,656.381.195-52,23/06/2023
CUST-10130,Mariana Santos,240.283.399-21,03/10/2024
CUST-10131,Lucas Costa,900.889.508-93,12/08/2023
CUST-10132,João Souza,585.254.155-90,17/10/2024
CUST-10133,João Costa,869.897.602-15,16/12/2025
CUST-10134,Pedro Ferreira,379.677.828-58,23/05/2023
CUST-10135,Fernanda Alves,819.145.879-57,23/03/2025
CUST-10136,Thiago Ferreira,319.703.181-97,21/10/2023
CUST-10137,Julia Alves,351.350.351-94,05/05/2025
CUST-10138,Mariana Santos,648.339.155-35,15/03/2025
CUST-10139,Thiago Santos,151.842.775-36,01/10/2025
CUST-10140,Beatriz Costa,257.524.321-77,30/10/2023
CUST-10141,Fernanda Oliveira,214.251.565-49,09/05/2024
CUST-10142,Carlos Costa,440.701.515-49,08/04/2025
CUST-10143,Ana Souza,799.127.136-14,19/10/2024
CUST-10144,Marcos Pereira,710.285.245-42,19/04/2024
CUST-10145,Carlos Ferreira,822.599.499-28,28/03/2025
CUST-10146,Ana Costa,408.122.803-28,15/08/2024
CUST-10147,Ana Gomes,102.750.638-49,22/05/2024
CUST-10148,Beatriz Costa,335.567.938-30,27/09/2025
CUST-10149,João Ribeiro,623.224.209-43,01/04/2025
CUST-10150,Beatriz Lima,357.282.984-61,26/12/2023
CUST-10151,Marcos Santos,371.683.359-35,07/07/2024
CUST-10152,Ana Ribeiro,537.375.386-78,05/02/2024
CUST-10153,Pedro Souza,727.490.738-49,03/11/2024
CUST-10154,Lucas Ferreira,594.243.635-15,14/05/2024
CUST-10155,Beatriz Lima,922.842.700-93,07/08/2023
CUST-10156,Camila Rodrigues,253.783.942-85,05/05/2023
CUST-10157,Carlos Silva,624.723.151-19,02/05/2025
CUST-10158,Lucas Ribeiro,364.173.588-22,17/12/2023
CUST-10159,Julia Souza,350.259.353-80,16/06/2023
CUST-10160,Carlos Silva,888.787.800-38,09/06/2023
CUST-10161,Julia Ferreira,392.970.733-41,25/10/2024
CUST-10162,Beatriz Lima,515.701.916-57,09/06/2024
CUST-10163,Lucas Souza,155.636.831-86,06/06/2023
CUST-10164,Lucas Santos,418.890.583-58,18/05/2025
CUST-10165,Fernanda Alves,288.226.502-72,01/11/2023
CUST-10166,Carlos Alves,417.955.444-33,10/11/2023
CUST-10167,Lucas Santos,707.393.887-57,22/03/2025
CUST-10168,Lucas Ribeiro,922.484.420-27,17/06/2024
CUST-10169,Maria Pereira,617.821.483-71,26/11/2025
CUST-10170,Julia Oliveira,966.490.611-39,14/10/2023
CUST-10171,Thiago Gomes,734.443.858-57,25/05/2025
CUST-10172,Thiago Santos,380.409.671-11,06/06/2023
CUST-10173,Rafael Lima,850.558.189-22,19/09/2023
CUST-10174,Pedro Pereira,704.965.677-43,12/05/2025
CUST-10175,Beatriz Santos,304.298.546-87,27/09/2024
CUST-10176,Camila Pereira,284.772.429-17,11/08/2024
CUST-10177,Mariana Oliveira,829.109.932-29,08/10/2023
CUST-10178,Rafael Santos,910.416.419-90,18/06/2024
CUST-10179,Carlos Alves,813.437.196-30,12/10/2023
CUST-10180,Thiago Rodrigues,646.436.922-94,28/05/2024
CUST-10181,Ana Costa,504.512.343-82,17/12/2023
CUST-10182,Pedro Ribeiro,701.971.973-45,06/12/2024
CUST-10183,Ana Ferreira,870.601.352-59,14/07/2023
CUST-10184,Camila Silva,734.937.438-41,22/02/2024
CUST-10185,Ana Santos,319.441.917-54,17/02/2025
CUST-10186,Lucas Lima,970.956.245-64,08/02/2025
CUST-10187,Camila Alves,803.184.525-65,31/07/2025
CUST-10188,Maria Costa,565.786.120-88,15/03/2025
CUST-10189,Thiago Rodrigues,596.242.745-28,02/08/2025
CUST-10190,Beatriz Gomes,696.974.569-10,28/02/2025
CUST-10191,Beatriz Ferreira,293.517.891-87,24/07/2024
CUST-10192,João Gomes,284.193.868-66,29/01/2025
CUST-10193,Pedro Oliveira,328.898.892-74,24/06/2023
CUST-10194,Fernanda Ferreira,578.265.218-15,06/07/2023
CUST-10195,João Gomes,752.951.622-93,13/02/2024
CUST-10196,Maria Santos,713.801.343-97,07/11/2025
CUST-10197,Maria Silva,931.728.639-58,23/09/2025
CUST-10198,Thiago Lima,701.453.291-32,07/07/2024
CUST-10199,Thiago Souza,741.114.454-89,27/04/2025
CUST-10200,Beatriz Gomes,540.655.445-98,22/08/2023
CUST-10201,Pedro Rodrigues,145.822.214-57,21/08/2025
CUST-10202,Maria Alves,385.996.965-44,21/11/2023
CUST-10203,Julia Gomes,154.694.109-60,14/12/2023
CUST-10204,Mariana Rodrigues,532.653.254-23,02/06/2024
CUST-10205,Lucas Ferreira,961.825.685-40,18/03/2024
CUST-10206,João Ribeiro,239.249.342-48,22/12/2025
CUST-10207,Lucas Rodrigues,945.109.377-88,05/11/2025
CUST-10208,Julia Costa,898.547.944-24,15/04/2023
CUST-10209,Mariana Lima,830.226.319-73,22/08/2023
CUST-10210,Camila Costa,183.103.883-89,16/12/2023
CUST-10211,Camila Santos,890.925.600-83,01/02/2024
CUST-10212,Maria Santos,402.424.848-94,11/06/2024
CUST-10213,Lucas Rodrigues,333.611.574-20,15/08/2023
CUST-10214,Carlos Pereira,852.856.200-58,10/05/2023
CUST-10215,Marcos Oliveira,510.573.309-28,26/10/2024
CUST-10216,Carlos Souza,840.867.390-33,23/01/2025
CUST-10217,João Silva,815.606.293-21,14/06/2025
CUST-10218,Maria Oliveira,115.954.106-53,21/07/2025
CUST-10219,Camila Alves,613.444.332-62,16/12/2023
CUST-10220,Beatriz Souza,130.338.136-53,08/07/2025
CUST-10221,Julia Rodrigues,833.246.586-96,24/10/2025
CUST-10222,Mariana Santos,772.842.586-13,06/12/2024
CUST-10223,Julia Costa,160.447.504-39,28/03/2025
CUST-10224,Lucas Ferreira,490.862.585-66,31/03/2024
CUST-10225,Ana Souza,205.825.459-81,17/02/2025
CUST-10226,Mariana Silva,119.718.479-48,16/01/2024
CUST-10227,Maria Gomes,237.522.485-75,08/02/2024
CUST-10228,Beatriz Santos,254.846.839-90,11/07/2024
CUST-10229,Lucas Alves,681.400.796-56,21/12/2024
CUST-10230,Rafael Rodrigues,626.512.524-45,09/03/2025
CUST-10231,Ana Lima,867.191.223-97,04/05/2025
CUST-10232,Ana Alves,784.741.168-63,22/10/2024
CUST-10233,Mariana Pereira,266.569.195-49,07/11/2024
CUST-10234,Marcos Oliveira,662.440.769-46,23/08/2024
CUST-10235,João Ribeiro,174.804.797-68,06/06/2023
CUST-10236,Maria Ribeiro,233.710.827-26,28/05/2024
CUST-10237,Beatriz Lima,478.662.150-87,18/12/2023
CUST-10238,Marcos Souza,283.902.632-98,11/02/2025
CUST-10239,Lucas Pereira,304.482.877-38,19/04/2025
CUST-10240,Rafael Santos,460.674.498-54,16/07/2023
CUST-10241,Pedro Pereira,806.216.631-47,01/06/2023
CUST-10242,Camila Lima,506.789.153-26,23/01/2025
CUST-10243,Ana Santos,663.291.507-98,15/02/2025
CUST-10244,Lucas Costa,275.450.466-91,07/04/2023
CUST-10245,Mariana Santos,109.134.141-26,25/05/2024
CUST-10246,Thiago Pereira,929.963.609-97,14/11/2024
